Zone,UseZone,Exposure,MapTrigger,IDorderBuy,OpenPrice,AmountBuy,OpenTime,FilledBuy,feeBuy,ExposureBuy,NAV,TradeTrigger,IDorderSell,ClosePrice,AmountSell,CloseTime,feeSell,LastClosePrice,Profit,round,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0.0755,1.0,,1.0,32205925329.0,0.0517554999999999,1.0,1615006652.23523,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.076,1.0,,1.0,32205926113.0,0.0517554999999999,1.0,1615006652.96858,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0765,1.0,,1.0,32205927230.0,0.0517554999999999,1.0,1615006653.86808,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.077,1.0,,1.0,32205928249.0,0.0517554999999999,1.0,1615006654.68656,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0775,1.0,,1.0,32205929310.0,0.0517554999999999,1.0,1615006655.50494,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.078,1.0,,1.0,32205932928.0,0.0517554999999999,1.0,1615006657.95199,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0785,1.0,,1.0,32205937476.0,0.0517554999999999,1.0,1615006659.91384,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.079,1.0,,1.0,32205939649.0,0.0517554999999999,1.0,1615006660.97405,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0795,1.0,,1.0,32205941344.0,0.0517554999999999,1.0,1615006661.86933,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.08,1.0,,1.0,32205943317.0,0.0517554999999999,1.0,1615006662.93063,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0805,1.0,,1.0,32205946648.0,0.0517554999999999,1.0,1615006664.81044,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.081,1.0,,1.0,32205950815.0,0.0517554999999999,1.0,1615006666.89312,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0815,1.0,,1.0,32205954482.0,0.0517554999999999,1.0,1615006668.4043,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
